analysis             sr                        o         b         db              s                  ds               s95obs         s95exp         robscons          rexpcons           
atlas_1407_0583      bCd_bulk_b                78.0      73.0      8.0             0.0                28.7085380277    58.7           71.4           0                 0                  
atlas_1407_0583      bCd_bulk_c                61.0      66.0      6.0             0.0                28.7085380277    17.5           20.9           0                 0                  
atlas_1407_0583      bCd_bulk_d                29.0      26.5      2.6             0.0                28.7085380277    14.8           12.6           0                 0                  
atlas_1407_0583      bCd_high1                 16.0      11.0      1.5             0.0                28.7085380277    13.2           8.5            0                 0                  
atlas_1407_0583      bCd_high2                 5.0       4.4       0.8             0.0                28.7085380277    6.3            5.7            0                 0                  
atlas_1407_0583      tN_boost                  5.0       3.3       0.7             0.0                28.7085380277    7.0            5.3            0                 0                  
atlas_1407_0583      tN_diag_a                 117.0     136.0     22.0            0.0                28.7085380277    42.1           55.7           0                 0                  
atlas_1407_0583      tN_diag_b                 163.0     152.0     20.0            0.0                28.7085380277    55.4           47.8           0                 0                  
atlas_1407_0583      tN_diag_c                 101.0     98.0      13.0            0.0                28.7085380277    36.1           33.9           0                 0                  
atlas_1407_0583      tN_diag_d                 217.0     236.0     29.0            0.0                28.7085380277    58.7           71.4           0                 0                  
atlas_1407_0583      tN_high                   5.0       5.0       1.0             0.0                28.7085380277    6.0            6.0            0                 0                  
atlas_1407_0583      tN_med                    12.0      13.0      2.2             0.0                28.7085380277    8.5            9.2            0                 0                  
atlas_1407_0583      tNbC_mix                  10.0      7.2       1.0             0.0                28.7085380277    9.7            7.0            0                 0                  
atlas_1407_0583      threeBody_a               12.0      16.9      2.8             0.0                28.7085380277    7.3            9.9            0                 0                  
atlas_1407_0583      threeBody_b               8.0       8.4       2.2             0.0                28.7085380277    7.9            7.8            0                 0                  
atlas_1407_0583      threeBody_c               29.0      35.0      4.0             0.0                28.7085380277    11.7           14.7           0                 0                  
atlas_1407_0583      threeBody_d               22.0      29.0      5.0             0.0                28.7085380277    55.4           47.8           0                 0                  
atlas_1407_0608      M1                        33054.0   33450.0   960.0           0.0                28.7085380277    1951.0         1960.0         0                 0                  
atlas_1407_0608      M2                        8606.0    8620.0    270.0           0.0                28.7085380277    575.0          590.0          0                 0                  
atlas_1407_0608      M3                        1776.0    1770.0    81.0            0.0                28.7085380277    195.0          190.0          0                 0                  
atlas_1411_1559      SRTotal                   521.0     557.0     45.0            0.0                28.7085380277    70.0           91.0           0                 0                  
atlas_1501_07110     SRee-1                    2.0       6.0       1.2             0.0                28.7085380277    4.0            6.0            0                 0                  
atlas_1501_07110     SRee-2                    1.0       2.8       0.8             0.0                28.7085380277    3.4            4.9            0                 0                  
atlas_1501_07110     SRem-1                    8.0       7.0       1.3             0.0                28.7085380277    8.0            7.0            0                 0                  
atlas_1501_07110     SRem-2                    4.0       1.9       0.7             0.0                28.7085380277    7.1            4.8            0                 0                  
atlas_1501_07110     SRlbb-onHiggs-1           4.0       6.0       1.3             0.0                28.7085380277    5.0            7.0            0                 0                  
atlas_1501_07110     SRlbb-onHiggs-2           3.0       2.8       0.8             0.0                28.7085380277    5.4            5.2            0                 0                  
atlas_1501_07110     SRlbb-sidebands-1         14.0      13.1      2.4             0.0                28.7085380277    10.4           9.8            0                 0                  
atlas_1501_07110     SRlbb-sidebands-2         10.0      8.8       1.7             0.0                28.7085380277    9.0            8.0            0                 0                  
atlas_1501_07110     SRlrr-1                   1.0       1.6       0.4             0.0                28.7085380277    3.8            3.9            0                 0                  
atlas_1501_07110     SRlrr-2                   5.0       3.3       0.8             0.0                28.7085380277    7.2            5.4            0                 0                  
atlas_1501_07110     SRmm-1                    6.0       3.8       0.9             0.110689703        20.3000868212    7.9            6.0            0                 0                  
atlas_1501_07110     SRmm-2                    4.0       2.6       1.1             0.0                28.7085380277    6.8            5.4            0                 0                  
atlas_1502_01518     SR1                       364378.0  372100.0  9900.0          0.0                28.7085380277    14088.0        18442.0        0                 0                  
atlas_1502_01518     SR2                       123228.0  126000.0  2900.0          0.0                28.7085380277    3939.0         5417.0         0                 0                  
atlas_1502_01518     SR3                       44715.0   45300.0   1100.0          0.0                28.7085380277    1718.0         2086.0         0                 0                  
atlas_1502_01518     SR4                       18020.0   18000.0   500.0           0.0                28.7085380277    977.0          1016.0         0                 0                  
atlas_1502_01518     SR5                       7988.0    8300.0    300.0           0.0                28.7085380277    397.0          579.0          0                 0                  
atlas_1502_01518     SR6                       3813.0    4000.0    160.0           0.0                28.7085380277    218.0          318.0          0                 0                  
atlas_1502_01518     SR7                       1028.0    1030.0    60.0            0.0                28.7085380277    130.0          133.0          0                 0                  
atlas_1502_01518     SR8                       318.0     310.0     30.0            0.0                28.7085380277    71.0           67.0           0                 0                  
atlas_1502_01518     SR9                       126.0     97.0      14.0            0.0                28.7085380277    58.0           36.0           0                 0                  
atlas_1503_03290     SR-Z                      29.0      10.6      3.2             0.0368965530666    0.0368965315319  29.6           12.0           0                 0                  
atlas_1506_08616     SRexA                     46.0      31.0      7.0             0.0                28.7085380277    31.0           21.0           0                 0                  
