analysis             sr                        signal_normevents  signal_err_tot     
cms_1502_06031       SR01_GE2jets_c.highMET    5.07139e-08        5.07138874789e-08  
cms_1502_06031       SR02_GE3jets_a.lowMET     5.07139e-08        5.07138874789e-08  
cms_1502_06031       SR02_GE3jets_b.mediumMET  1.01428e-07        7.17203039423e-08  
cms_1502_06031       SR02_GE3jets_c.highMET    5.07139e-08        5.07138874789e-08  
cms_1504_03198       SR1                       0.0                0                  
cms_exo_14_014       SR_ee_150                 0.0                0                  
cms_exo_14_014       SR_ee_200                 0.0                0                  
cms_exo_14_014       SR_ee_250                 0.0                0                  
cms_exo_14_014       SR_ee_300                 0.0                0                  
cms_exo_14_014       SR_ee_500                 0.0                0                  
cms_exo_14_014       SR_ee_90                  0.0                0                  
cms_exo_14_014       SR_emu_150                0.0                0                  
cms_exo_14_014       SR_emu_200                0.0                0                  
cms_exo_14_014       SR_emu_250                0.0                0                  
cms_exo_14_014       SR_emu_300                0.0                0                  
cms_exo_14_014       SR_emu_350                0.0                0                  
cms_exo_14_014       SR_emu_400                0.0                0                  
cms_exo_14_014       SR_emu_500                0.0                0                  
cms_exo_14_014       SR_emu_90                 0.0                0                  
cms_exo_14_014       SR_low_ee                 0.0                0                  
cms_exo_14_014       SR_low_emu                0.0                0                  
cms_sus_13_016       SR1                       0.0                0                  
